Three real estate licenses issued in zip code 48827 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044137	2020-01-08 07:09:11	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One accountancy license issued in zip code 48864 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044155	2019-12-21 08:19:18	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One real estate appraiser license issued in zip code 48823 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044121	2020-01-22 06:09:31	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One real estate license issued in zip code 48822 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044139	2020-01-06 09:34:01	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
Three real estate licenses issued in zip code 48837 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044136	2020-01-09 08:27:33	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One accountancy license issued in zip code 48894 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044154	2019-12-22 06:24:50	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One real estate license issued in zip code 48933 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044120	2020-01-20 09:04:25	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
Three real estate licenses issued in zip code 48842 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044135	2020-01-10 06:57:08	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One accountancy license issued in zip code 48915 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044153	2019-12-23 09:23:10	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One real estate license issued in zip code 49285 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044119	2020-01-21 06:19:36	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
Two real estate licenses issued in zip code 48864 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044134	2020-01-12 07:06:36	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One accountancy license issued in zip code 48917 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044152	2019-12-24 06:46:19	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One real estate license issued in zip code 48854 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044133	2020-01-11 07:48:40	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One carnival/amusement license issued in zip code 48854 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044151	2019-12-25 08:43:04	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
Four real estate licenses issued in zip code 48879 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044132	2020-01-13 10:28:36	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One hearing aid dealer license issued in zip code 48864 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044150	2019-12-26 08:42:20	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One real estate license issued in zip code 48910 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044131	2020-01-16 08:04:31	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
One landscape architect license issued in zip code 48910 in Q2 of 2019	Capitol News	https://pipeline.locallabs.com/stories/521044149	2019-12-27 07:05:42	Capitol News - Michigan - Professional Licenses Issued By Profession Compared to same time LY (Zip - QUARTER) HLE	MM - Michigan
